,KOI,TransitNumber,TransitTimeLinear,TTV,eTTV,TransitTime,KOI_System,Planet_Number
570974,KOI-1576.02,33,484.3261459,0.0017199000000000001,0.0076451999999999996,484.3278658,1576,2
570975,KOI-1576.02,34,497.4103869,-0.0056298,0.006389199999999999,497.4047571,1576,2
570976,KOI-1576.02,35,510.4946279,-0.000151,0.0091867,510.4944769,1576,2
570977,KOI-1576.02,36,523.5788688,0.0165357,0.006375,523.5954045,1576,2
570978,KOI-1576.02,37,536.6631098,-0.0063975,0.0049767,536.6567123,1576,2
570979,KOI-1576.02,38,549.7473507,0.0030876,0.0056736,549.7504382999999,1576,2
570980,KOI-1576.02,40,575.9158326,-0.0075128,0.0099338,575.9083198000001,1576,2
570981,KOI-1576.02,41,589.0000736000001,-0.007699600000000001,0.008033499999999999,588.992374,1576,2
570982,KOI-1576.02,42,602.0843146000001,-0.014540899999999999,0.007520100000000001,602.0697737,1576,2
570983,KOI-1576.02,43,615.1685555,-0.008498200000000001,0.0059631,615.1600573000001,1576,2
570984,KOI-1576.02,44,628.2527964999999,-0.0035626999999999994,0.0076907,628.2492338,1576,2
570985,KOI-1576.02,45,641.3370374,0.009137200000000002,0.006781999999999999,641.3461746,1576,2
570986,KOI-1576.02,48,680.5897603,-0.0114476,0.006511399999999999,680.5783127,1576,2
570987,KOI-1576.02,49,693.6740013,-0.0037194000000000003,0.0080755,693.6702819,1576,2
570988,KOI-1576.02,50,706.7582422,-0.0019673,0.0096064,706.7562749,1576,2
570989,KOI-1576.02,51,719.8424832000001,0.019419299999999997,0.0067736,719.8619025,1576,2
570990,KOI-1576.02,52,732.9267242000001,-0.003571,0.0054655,732.9231532000001,1576,2
570991,KOI-1576.02,53,746.0109651,0.013066999999999999,0.0066673,746.0240321,1576,2
570992,KOI-1576.02,54,759.0952061,0.0119738,0.0055545,759.1071799,1576,2
570993,KOI-1576.02,55,772.179447,1.3000000000000001e-05,0.006028899999999999,772.17946,1576,2
570994,KOI-1576.02,56,785.263688,-0.010083700000000001,0.006854600000000001,785.2536043,1576,2
570995,KOI-1576.02,57,798.3479288999999,0.0045146,0.0065918999999999995,798.3524434999999,1576,2
570996,KOI-1576.02,58,811.4321699,0.0082873,0.005887300000000001,811.4404572,1576,2
570997,KOI-1576.02,59,824.5164109,0.0125501,0.0057825,824.528961,1576,2
570998,KOI-1576.02,60,837.6006517999999,0.0023453000000000002,0.0076676999999999995,837.6029970999999,1576,2
570999,KOI-1576.02,61,850.6848928,0.0195486,0.0066563,850.7044414,1576,2
571000,KOI-1576.02,62,863.7691337000001,-0.0085436,0.0065035,863.7605901000001,1576,2
571001,KOI-1576.02,63,876.8533747000001,0.0014347000000000001,0.008683100000000001,876.8548094000001,1576,2
571002,KOI-1576.02,64,889.9376156999999,-0.0026385000000000002,0.0067694999999999995,889.9349771999999,1576,2
571003,KOI-1576.02,66,916.1060976,0.0094416,0.012008,916.1155392,1576,2
571004,KOI-1576.02,67,929.1903384999999,0.0002319,0.005949899999999999,929.1905704,1576,2
571005,KOI-1576.02,68,942.2745795,-0.030178899999999998,0.012054700000000002,942.2444006,1576,2
571006,KOI-1576.02,69,955.3588205,-0.0029554000000000004,0.0047597,955.3558651,1576,2
571007,KOI-1576.02,70,968.4430614,0.0065212000000000004,0.0052647,968.4495826,1576,2
571008,KOI-1576.02,71,981.5273024,0.005469699999999999,0.0046661,981.5327721000001,1576,2
571009,KOI-1576.02,72,994.6115433,-0.0018292999999999998,0.008957099999999999,994.6097139999999,1576,2
571010,KOI-1576.02,73,1007.6957843,0.0106084,0.0090591,1007.7063927,1576,2
571011,KOI-1576.02,74,1020.7800252999998,-0.009253299999999999,0.0062345,1020.7707719999999,1576,2
571012,KOI-1576.02,75,1033.8642662,-0.010073200000000001,0.0048331,1033.854193,1576,2
571013,KOI-1576.02,76,1046.9485072,-0.0104095,0.009581200000000002,1046.9380977,1576,2
571014,KOI-1576.02,77,1060.0327481000002,-0.0116557,0.0083559,1060.0210924000003,1576,2
571015,KOI-1576.02,78,1073.1169891000002,-0.0163546,0.0056246,1073.1006345,1576,2
571016,KOI-1576.02,79,1086.2012300000001,0.0032531999999999995,0.0059124,1086.2044832000001,1576,2
571017,KOI-1576.02,80,1099.2854710000001,-0.008426000000000001,0.0057371,1099.277045,1576,2
571018,KOI-1576.02,82,1125.4539529,-0.0086369,0.0059943999999999996,1125.445316,1576,2
571019,KOI-1576.02,83,1138.5381939000001,-0.010642700000000001,0.006554000000000001,1138.5275512,1576,2
571020,KOI-1576.02,84,1151.6224347999998,-0.007862899999999999,0.0088728,1151.6145718999999,1576,2
571021,KOI-1576.02,86,1177.7909167999999,-0.0345436,0.0061514,1177.7563731999999,1576,2
571022,KOI-1576.02,87,1190.8751577,-0.0039068,0.005797600000000001,1190.8712509,1576,2
571023,KOI-1576.02,88,1203.9593987,-0.0012460999999999998,0.007437899999999999,1203.9581526000002,1576,2
571024,KOI-1576.02,89,1217.0436396,0.0062213,0.0097905,1217.0498609,1576,2
571025,KOI-1576.02,90,1230.1278806,0.0040149,0.0050282,1230.1318955,1576,2
571026,KOI-1576.02,91,1243.2121215999998,-0.0346084,0.007332600000000001,1243.1775131999998,1576,2
571027,KOI-1576.02,92,1256.2963625,0.0027756,0.0054614,1256.2991381,1576,2
571028,KOI-1576.02,94,1282.4648444,0.0096759,0.0054995,1282.4745203,1576,2
571029,KOI-1576.02,95,1295.5490854,0.0028967,0.0121324,1295.5519821,1576,2
571030,KOI-1576.02,96,1308.6333264,-0.0002862,0.0067696,1308.6330402,1576,2
571031,KOI-1576.02,97,1321.7175673000002,0.0167917,0.0079069,1321.7343590000003,1576,2
571032,KOI-1576.02,98,1334.8018083,0.0224882,0.0054179,1334.8242965,1576,2
571033,KOI-1576.02,100,1360.9702902000001,0.0099559,0.0067775000000000005,1360.9802461000002,1576,2
571034,KOI-1576.02,101,1374.0545310999998,0.0266663,0.0055522,1374.0811973999998,1576,2
571035,KOI-1576.02,102,1387.1387720999999,0.0154494,0.0057701,1387.1542215,1576,2
571036,KOI-1576.02,103,1400.2230131,0.0073763000000000006,0.0064258,1400.2303894,1576,2
571037,KOI-1576.02,105,1426.3914949999998,0.0052688000000000006,0.0066861,1426.3967638,1576,2
571038,KOI-1576.02,106,1439.4757359,0.0222366,0.0052096,1439.4979725,1576,2
571039,KOI-1576.02,107,1452.5599769,-0.0124736,0.0094424,1452.5475033,1576,2
